"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","phosphatidylinositol binding","GO:0035091","true","0.0215322237227201","1.666911116454434","279","559","21","20208","FCHO2,PIGK,PLA2G4A,ARHGAP33,AIDA,PLEKHF2,SNX16,GSN,OSBPL8,STAM2,GOLPH3L,DAPP1,VPS36,WDFY1,KCNJ2,IQGAP2,ALOX15,SNX4,SNX10,APPL2,ZFYVE16"
"GO:MF","kinase regulator activity","GO:0019207","false","0.04815063104749185","1.3173980167710635","295","559","21","20208","TESC,LAMTOR3,PRKAR2B,MOB1A,LTF,SRC,GMFB,FAM20A,NRG1,CASP3,DNAJC3,PTPRC,NBN,STK3,RICTOR,CCNT2,DDX3X,TGFA,PIK3R6,IL6ST,PIK3CA"
"GO:MF","kinase activator activity","GO:0019209","false","0.04826018321791744","1.3164110336419141","151","559","14","20208","LAMTOR3,MOB1A,LTF,SRC,FAM20A,NRG1,NBN,STK3,RICTOR,CCNT2,DDX3X,TGFA,IL6ST,PIK3CA"
"GO:BP","response to stimulus","GO:0050896","true","8.796218915573704e-14","13.055703970688853","9051","542","330","20972","CYP1B1,GPR15,PLVAP,TESC,NUP93,SAMD9,LPAR6,FANCL,CCL4,LAMTOR3,PROK2,ST3GAL6,LGR6,ACTA2,CNIH,SRGN,IKBIP,CCL4L1,ATP6V1G1,PRKAR2B,MAN1A1,SLC4A7,OSGIN2,ANXA1,ANXA3,TNFSF10,NCOR2,PRKACB,MOB1A,LIMS1,CLIC4,BTNL3,PLD4,C9ORF72,EFHC2,RB1,FGL2,STT3B,RGS18,IDH1,POLE2,FLNA,ABCA1,PEX2,SLC30A1,LTF,MIER1,STRN3,VWCE,POLK,BIRC2,IFIT5,ARL8B,CD164,SRC,BBS10,GMFB,PLA2G4A,FAM20A,CTSS,UBE2J1,YTHDF3,ERC1,TAF7,CPNE9,RCHY1,SLC8A1,DNAJB14,SLK,CD274,NRG1,RNF139,ADAM17,TDP2,ARHGAP33,CASP3,STK17B,DPM1,RHOT1,PLSCR1,RC3H2,MIB1,TRAM1,LRRC40,AIDA,PPP1CB,RAB33B,CYB5R4,GPR171,RECQL,DNAJC3,EFHA1,ACAP2,HIPK3,TMX1,MEF2A,TRIM52,TAX1BP1,ITM2A,SLC25A24,COPS2,PTPN22,PTPRC,TNFSF13B,RAP1B,LRRN2,STX7,SHOC2,ACADM,MAP3K1,ATF2,DENND4A,GSN,G6PD,KYNU,CHMP5,OSBPL8,MOSPD2,SEMA6C,TGFBR1,STAM2,KIF5B,CCR2,MOB4,DCUN1D5,HLX,TRBV10-1,C3AR1,TSPAN2,BIRC3,PNPLA8,BNIP2,GPR27,CDC42EP2,CD46,IGLV3-27,PDCD10,RNF138,RAB44,CUL4B,DEK,CD36,CSNK1G3,MS4A6A,JUP,PPP4R1,GPR65,FAM8A1,CD226,RNFT1,KBTBD7,TLR10,LRRC70,DAPP1,TMCO1,UBE2D1,GALNT3,IFI6,EPHA1,ICOS,SFRP2,NPHP3,NBN,B3GNT2,GNAQ,VCPIP1,GNA13,P2RY14,PRF1,MSH5,IFIT1,PRRG4,ALCAM,STK3,GLI1,PPM1A,IFT172,CHURC1,RFX2,BAG1,C3,UBE2W,IL18BP,ROCK1,B3GAT1,SLU7,PSMC6,TLR5,MT-ATP6,RICTOR,GPR34,TBL1XR1,XRCC4,VNN1,OSGIN1,S100A12,RAD1,TMEM170B,PJA2,NT5C3,DNAJC25-GNG10,IFI27,RB1CC1,VRK1,WDFY1,TRAV40,PRR5L,AQP9,RIT1,PER1,KCNJ2,JMJD1C,RWDD3,ZEB1,MAOA,MT-CO2,IQGAP2,KCTD12,ATP1A3,NKG7,USP1,MNDA,HMGB2,NRBF2,TXN,KREMEN1,DHX36,BCL6,C18ORF32,RRM2B,ARHGEF17,MATN2,DISC1,PLCXD2,SCAMP5,CD74,EDEM3,HSP90AA1,RNASE1,NEK7,ARRDC3,CD48,CXCL5,MMRN1,SOS2,TLR4,MT-ND1,TLR9,DDX3X,RGS9,CTSW,SIAH2,DUSP8,APOBEC3A,CABP4,SEMA6B,TLR8,ALOX15,TGFA,SNX4,ACCN3,CCL3L3,PDXP,WNT10A,RASA4B,GPR35,LY96,FNIP1,PIK3R6,LRRK2,SLC38A2,ADD3,TRAV5,SNX10,MT-ND2,S100A8,MT-ND4,USP10,MEF2C,MT-CYB,HBB,ADAM10,TNFAIP6,PSMA6,PPP4R2,UBXN4,PLXNC1,PAG1,JAK2,FBXO7,RASA2,XRRA1,ABI3,CD58,SRPK1,LDOC1,BRCA2,IL6ST,TAC3,GAS8,GPR162,KIR2DL1,SCYL2,APPL2,BACH1,PPP1R12A,MAK,COMMD8,IFI44,IGHV1-3,PKN2,P2RX1,ZFYVE16,RNF13,RBM47,FAM20C,IFNGR1,TPT1,NAMPT,CLEC4D,RUNDC3A,IFIT2,ARID4B,LTC4S,ZDHHC17,PPM1B,SENP7,S1PR5,NT5E,PIK3CA"
"GO:BP","protein modification process","GO:0036211","true","5.3853545522032655e-12","11.268785699051874","2360","542","125","20972","FBXL5,FANCL,PRKAR2B,MMD,MAN1A1,ANXA1,PRKACB,C9ORF72,RB1,STT3B,FLNA,PEX2,LTF,HAT1,BIRC2,SRC,GMFB,SPOPL,FAM20A,UBE2J1,FEM1C,ERC1,TAF7,RCHY1,AGTPBP1,UBA3,SLC35A1,SLK,NRG1,RNF139,DPH3,STK17B,PPIL4,RC3H2,MIB1,AIDA,PPP1CB,DNAJC3,HIPK3,PCNP,TRIM52,PTAR1,RNF11,COPS2,PTPN22,PTPRC,WDFY2,MAP3K1,ATF2,PCMT1,TGFBR1,DCUN1D5,BIRC3,FBXO30,UHMK1,PDCD10,RNF138,CUL4B,CSNK1G3,PPP4R1,RNFT1,TRPM7,KBTBD7,SENP6,DBI,DAPP1,UBE2D1,TPGS2,EPHA1,SFRP2,NBN,GNAQ,VCPIP1,STK3,PPM1A,C3,UBE2W,ROCK1,S100A12,CCNT2,PJA2,IFI27,VRK1,PRR5L,RWDD3,USP1,TXN,CSTA,PPIAL4G,CD74,EDEM3,HSP90AA1,NEK7,ARRDC3,TLR4,DDX3X,CDKN3,SIAH2,DUSP8,SPDYC,PCMTD2,PDXP,MTMR6,FNIP1,PIK3R6,LRRK2,S100A8,USP10,ADAM10,PPP4R2,JAK2,FBXO7,SRPK1,ZDHHC20,SCYL2,PPP1R12A,MAK,PKN2,RNF13,FAM20C,ZDHHC17,PPM1B,CLK1,B4GALT7,SENP7"
"GO:BP","response to stress","GO:0006950","false","1.518235412196167e-11","10.818660883057792","3984","542","178","20972","CYP1B1,SAMD9,FANCL,CCL4,PROK2,CCL4L1,MAN1A1,ANXA1,ANXA3,PRKACB,PLD4,RB1,FGL2,STT3B,IDH1,POLE2,FLNA,ABCA1,PEX2,SLC30A1,LTF,POLK,BIRC2,IFIT5,ARL8B,SRC,BBS10,PLA2G4A,CTSS,UBE2J1,YTHDF3,TAF7,RCHY1,SLC8A1,DNAJB14,CD274,NRG1,RNF139,ADAM17,TDP2,CASP3,PLSCR1,TRAM1,RECQL,DNAJC3,TMX1,TRIM52,TAX1BP1,SLC25A24,PTPN22,PTPRC,ACADM,ATF2,GSN,G6PD,KYNU,CHMP5,TGFBR1,KIF5B,CCR2,DCUN1D5,C3AR1,TSPAN2,BIRC3,PNPLA8,CDC42EP2,CD46,PDCD10,RNF138,RAB44,CUL4B,DEK,CD36,FAM8A1,CD226,RNFT1,TLR10,TMCO1,IFI6,SFRP2,NBN,GNAQ,VCPIP1,GNA13,PRF1,MSH5,IFIT1,PRRG4,GLI1,C3,UBE2W,IL18BP,SLU7,PSMC6,TLR5,MT-ATP6,RICTOR,XRCC4,VNN1,S100A12,RAD1,PJA2,NT5C3,IFI27,RB1CC1,VRK1,WDFY1,PRR5L,PER1,JMJD1C,RWDD3,MT-CO2,NKG7,USP1,MNDA,HMGB2,NRBF2,TXN,KREMEN1,DHX36,BCL6,RRM2B,MATN2,SCAMP5,CD74,EDEM3,HSP90AA1,RNASE1,NEK7,CD48,CXCL5,MMRN1,TLR4,MT-ND1,TLR9,DDX3X,APOBEC3A,TLR8,ALOX15,SNX4,ACCN3,CCL3L3,LY96,FNIP1,PIK3R6,LRRK2,SLC38A2,MT-ND2,S100A8,MT-ND4,USP10,MEF2C,MT-CYB,HBB,TNFAIP6,PSMA6,PPP4R2,UBXN4,JAK2,ABI3,CD58,SRPK1,BRCA2,IL6ST,APPL2,BACH1,PKN2,P2RX1,RBM47,IFNGR1,TPT1,NAMPT,CLEC4D,IFIT2,PPM1B,SENP7,NT5E,PIK3CA"
"GO:BP","macromolecule modification","GO:0043412","false","5.128178196446015e-11","10.290036892149809","2547","542","129","20972","FBXL5,FANCL,WTAP,PRKAR2B,MMD,MAN1A1,ANXA1,PRKACB,ABHD13,C9ORF72,RB1,STT3B,FLNA,PEX2,LTF,HAT1,BIRC2,SRC,GMFB,SPOPL,FAM20A,UBE2J1,FEM1C,ERC1,TAF7,RCHY1,AGTPBP1,UBA3,SLC35A1,SLK,NRG1,RNF139,DPH3,STK17B,PPIL4,RC3H2,MIB1,AIDA,PPP1CB,DNAJC3,HIPK3,PCNP,TRIM52,PTAR1,RNF11,COPS2,PTPN22,PTPRC,WDFY2,MAP3K1,ATF2,PCMT1,TGFBR1,DCUN1D5,BIRC3,FBXO30,UHMK1,PDCD10,RNF138,CUL4B,CSNK1G3,PPP4R1,RNFT1,TRPM7,KBTBD7,SENP6,DBI,DAPP1,UBE2D1,TPGS2,EPHA1,SFRP2,NBN,GNAQ,VCPIP1,STK3,PPM1A,C3,UBE2W,ROCK1,S100A12,CCNT2,PJA2,IFI27,VRK1,PRR5L,RWDD3,USP1,TXN,CSTA,PPIAL4G,CD74,EDEM3,HSP90AA1,NEK7,ARRDC3,TLR4,DDX3X,CDKN3,SIAH2,DUSP8,APOBEC3A,SPDYC,PCMTD2,PDXP,MTMR6,FNIP1,PIK3R6,LRRK2,S100A8,USP10,ADAM10,PPP4R2,JAK2,FBXO7,SRPK1,ZDHHC20,SCYL2,PPP1R12A,MAK,PKN2,RNF13,RBM47,FAM20C,ZDHHC17,PPM1B,CLK1,B4GALT7,SENP7"
"GO:BP","cellular response to stimulus","GO:0051716","false","1.7553099858069176e-9","8.755646176498791","7425","542","272","20972","CYP1B1,GPR15,PLVAP,TESC,NUP93,LPAR6,FANCL,CCL4,LAMTOR3,PROK2,LGR6,ACTA2,CNIH,SRGN,CCL4L1,ATP6V1G1,PRKAR2B,MAN1A1,OSGIN2,ANXA1,TNFSF10,NCOR2,PRKACB,MOB1A,LIMS1,CLIC4,BTNL3,C9ORF72,RB1,STT3B,RGS18,POLE2,FLNA,ABCA1,PEX2,LTF,MIER1,STRN3,POLK,BIRC2,IFIT5,CD164,SRC,BBS10,GMFB,PLA2G4A,CTSS,UBE2J1,YTHDF3,ERC1,TAF7,CPNE9,RCHY1,SLC8A1,DNAJB14,SLK,CD274,NRG1,RNF139,ADAM17,TDP2,ARHGAP33,CASP3,STK17B,RHOT1,PLSCR1,RC3H2,MIB1,LRRC40,AIDA,PPP1CB,RAB33B,GPR171,RECQL,DNAJC3,EFHA1,HIPK3,TMX1,MEF2A,TRIM52,TAX1BP1,SLC25A24,COPS2,PTPN22,PTPRC,TNFSF13B,RAP1B,LRRN2,SHOC2,MAP3K1,ATF2,DENND4A,G6PD,CHMP5,OSBPL8,MOSPD2,SEMA6C,TGFBR1,STAM2,CCR2,MOB4,DCUN1D5,HLX,TRBV10-1,C3AR1,BIRC3,PNPLA8,GPR27,CDC42EP2,CD46,PDCD10,RNF138,CUL4B,DEK,CD36,CSNK1G3,MS4A6A,JUP,PPP4R1,GPR65,FAM8A1,CD226,RNFT1,KBTBD7,TLR10,DAPP1,TMCO1,UBE2D1,GALNT3,IFI6,EPHA1,SFRP2,NPHP3,NBN,GNAQ,VCPIP1,GNA13,P2RY14,PRF1,MSH5,IFIT1,ALCAM,STK3,GLI1,PPM1A,IFT172,CHURC1,BAG1,C3,UBE2W,IL18BP,ROCK1,SLU7,PSMC6,TLR5,RICTOR,GPR34,TBL1XR1,XRCC4,VNN1,OSGIN1,S100A12,RAD1,TMEM170B,PJA2,DNAJC25-GNG10,IFI27,RB1CC1,VRK1,WDFY1,PRR5L,AQP9,RIT1,PER1,KCNJ2,RWDD3,ZEB1,MAOA,IQGAP2,KCTD12,ATP1A3,NKG7,USP1,MNDA,HMGB2,NRBF2,TXN,KREMEN1,DHX36,BCL6,C18ORF32,RRM2B,ARHGEF17,MATN2,DISC1,PLCXD2,SCAMP5,CD74,EDEM3,HSP90AA1,NEK7,ARRDC3,CD48,CXCL5,MMRN1,SOS2,TLR4,TLR9,DDX3X,RGS9,SIAH2,DUSP8,CABP4,SEMA6B,TLR8,ALOX15,TGFA,CCL3L3,PDXP,WNT10A,RASA4B,GPR35,LY96,FNIP1,PIK3R6,LRRK2,SLC38A2,S100A8,USP10,MEF2C,HBB,ADAM10,TNFAIP6,PPP4R2,UBXN4,PLXNC1,PAG1,JAK2,FBXO7,RASA2,ABI3,SRPK1,LDOC1,BRCA2,IL6ST,TAC3,GAS8,GPR162,KIR2DL1,SCYL2,APPL2,BACH1,PPP1R12A,MAK,COMMD8,PKN2,P2RX1,ZFYVE16,RNF13,RBM47,FAM20C,IFNGR1,TPT1,NAMPT,CLEC4D,RUNDC3A,ARID4B,LTC4S,ZDHHC17,PPM1B,S1PR5,PIK3CA"
"GO:BP","response to external stimulus","GO:0009605","false","2.9511197465317206e-9","8.530013167930457","2427","542","120","20972","SAMD9,CCL4,PROK2,LGR6,ACTA2,CCL4L1,ANXA1,ANXA3,PLD4,RB1,FGL2,ABCA1,SLC30A1,LTF,VWCE,BIRC2,IFIT5,ARL8B,SRC,FAM20A,CTSS,YTHDF3,SLC8A1,CD274,NRG1,ADAM17,CASP3,PLSCR1,PPP1CB,DNAJC3,TMX1,TRIM52,TAX1BP1,PTPN22,PTPRC,MAP3K1,ATF2,GSN,KYNU,CHMP5,MOSPD2,SEMA6C,KIF5B,CCR2,C3AR1,BIRC3,CDC42EP2,CD46,CD36,JUP,CD226,TLR10,IFI6,GNAQ,PRF1,IFIT1,C3,UBE2W,IL18BP,TLR5,RICTOR,VNN1,S100A12,PJA2,NT5C3,IFI27,RB1CC1,WDFY1,PER1,KCNJ2,NKG7,MNDA,HMGB2,KREMEN1,DHX36,BCL6,DISC1,CD74,HSP90AA1,RNASE1,NEK7,CXCL5,MMRN1,TLR4,TLR9,DDX3X,APOBEC3A,CABP4,SEMA6B,TLR8,ALOX15,SNX4,ACCN3,CCL3L3,LY96,PIK3R6,LRRK2,SLC38A2,TRAV5,S100A8,MEF2C,ADAM10,TNFAIP6,PSMA6,JAK2,CD58,SRPK1,LDOC1,IL6ST,APPL2,IFI44,RBM47,IFNGR1,TPT1,CLEC4D,IFIT2,PPM1B,SENP7,NT5E,PIK3CA"
"GO:BP","phosphate-containing compound metabolic process","GO:0006796","false","3.406886394008018e-8","7.4676423481691465","2196","542","109","20972","SERINC1,PRKAR2B,MMD,SLC4A7,PRKACB,C9ORF72,RB1,IDH1,PIGK,LTF,SLC44A1,SRC,GMFB,PLA2G4A,FAM20A,ERC1,TAF7,SLC35A1,SLK,SLC30A5,NRG1,STK17B,DPM1,PLSCR1,AIDA,PPP1CB,DNAJC3,HIPK3,IPMK,COPS2,PPIP5K2,PTPN22,NDUFB3,PTPRC,WDFY2,ALDOC,MAP3K1,ATF2,G6PD,KYNU,TGDS,OSBPL8,TGFBR1,FAR1,PNPLA8,UHMK1,PDCD10,CSNK1G3,PPP4R1,ABHD3,TRPM7,DBI,DAPP1,EPHA1,SFRP2,GNAQ,SAMD8,STK3,PPM1A,SACM1L,C3,ACSL4,GK,ROCK1,MT-ATP6,VNN1,S100A12,CCNT2,NT5C3,VRK1,PRR5L,RRM2B,CD74,NEK7,MT-ND6,TLR4,MT-ND1,CDKN3,DUSP8,SPDYC,ALOX15,CEPT1,PDXP,MTMR6,FNIP1,CHPT1,PIK3R6,LRRK2,NAAA,GIMAP7,PIGB,MT-ND2,MT-ND4,MEF2C,ADAM10,JAK2,DCK,SRPK1,SCYL2,MFN1,PPP1R12A,MAK,PKN2,FAM20C,NAMPT,PPM1B,CLK1,NT5E,PIK3CA"
"GO:BP","phosphorus metabolic process","GO:0006793","false","3.7048627386332515e-8","7.431227877551974","2199","542","109","20972","SERINC1,PRKAR2B,MMD,SLC4A7,PRKACB,C9ORF72,RB1,IDH1,PIGK,LTF,SLC44A1,SRC,GMFB,PLA2G4A,FAM20A,ERC1,TAF7,SLC35A1,SLK,SLC30A5,NRG1,STK17B,DPM1,PLSCR1,AIDA,PPP1CB,DNAJC3,HIPK3,IPMK,COPS2,PPIP5K2,PTPN22,NDUFB3,PTPRC,WDFY2,ALDOC,MAP3K1,ATF2,G6PD,KYNU,TGDS,OSBPL8,TGFBR1,FAR1,PNPLA8,UHMK1,PDCD10,CSNK1G3,PPP4R1,ABHD3,TRPM7,DBI,DAPP1,EPHA1,SFRP2,GNAQ,SAMD8,STK3,PPM1A,SACM1L,C3,ACSL4,GK,ROCK1,MT-ATP6,VNN1,S100A12,CCNT2,NT5C3,VRK1,PRR5L,RRM2B,CD74,NEK7,MT-ND6,TLR4,MT-ND1,CDKN3,DUSP8,SPDYC,ALOX15,CEPT1,PDXP,MTMR6,FNIP1,CHPT1,PIK3R6,LRRK2,NAAA,GIMAP7,PIGB,MT-ND2,MT-ND4,MEF2C,ADAM10,JAK2,DCK,SRPK1,SCYL2,MFN1,PPP1R12A,MAK,PKN2,FAM20C,NAMPT,PPM1B,CLK1,NT5E,PIK3CA"
"GO:BP","transport","GO:0006810","false","3.791744440086293e-8","7.421160941376294","4370","542","179","20972","OSTM1,TESC,NUP93,SAMD9,CCL4,GAS7,CNIH,ATP6V1G1,CNIH4,ITSN2,CEP19,SLC4A7,ANXA1,ANXA3,NCOR2,ATP6V1C1,CLIC4,FCHO2,PLD4,C9ORF72,FLNA,RAB8B,SLC40A1,ABCA1,ATP11C,PEX2,SLC30A1,LTF,EMB,SOAT1,SLC44A1,TNPO1,SLC35A5,ARL8B,SRC,PLA2G4A,CTSS,UBE2J1,ERC1,TAF7,SLC8A1,AGTPBP1,LMBRD1,SLC35A1,SLC30A5,NRG1,RNF139,ADAM17,LRRC26,DPH3,ARHGAP33,CASP3,ARL5A,RHOT1,PLSCR1,MIB1,TRAM1,MRC2,PGRMC1,RAB33B,CYB5R4,YIPF4,PLEKHF2,EFHA1,ACAP2,TMX1,MEF2A,ATP11B,SLC25A24,PTPN22,NDUFB3,PTPRC,RAP1B,STX7,SHOC2,SNX16,ATF2,GSN,CREG1,G6PD,CHMP5,OSBPL8,STAM2,KIF5B,TMEM41B,CCR2,TIMM8B,PNPLA8,GPR27,UHMK1,PDCD10,RAB44,CUL4B,CD36,CSNK1G3,GOLPH3L,TMEM167A,JUP,AP1S2,SPAST,NMD3,TRPM7,DBI,SLC22A4,SLC25A40,TMCO1,VMP1,NPHP3,PRF1,IFIT1,STK3,PPM1A,IFT172,FAM91A1,C3,ACSL4,TMED5,CMTM6,ROCK1,VPS36,TMEM30A,SLU7,MT-ATP6,ICA1,IFI27,UPK3A,PRR5L,AQP9,PER1,KCNJ2,MT-CO2,KCTD12,RP2,ATP1A3,NKG7,TXN,SCAMP5,CD74,HSP90AA1,ARRDC3,MT-ND6,ERGIC2,TLR4,MT-ND1,TLR9,IER3IP1,RGS9,RAB36,MAP1S,ALOX15,SNX4,ACCN3,MTMR6,GPR35,LRRK2,SLC38A2,STEAP4,SPNS3,SNX10,MT-ND2,S100A8,MT-ND4,MEF2C,MT-CYB,HBB,ARL11,LMNB1,JAK2,GAS8,KIF27,SCYL2,APPL2,PPP1R12A,MAK,P2RX1,ZFYVE16,TPT1,ZDHHC17,PIK3CA"
"GO:BP","immune system process","GO:0002376","false","3.8855258051652296e-8","7.410550202389398","2913","542","133","20972","GPR15,PLVAP,TESC,SAMD9,CCL4,CNIH,CCL4L1,ANXA1,ANXA3,TNFSF10,BTNL3,PLD4,C9ORF72,RB1,FGL2,RAB8B,SLC40A1,ATP11C,LTF,BIRC2,IFIT5,ARL8B,CD164,SRC,PLA2G4A,CTSS,UBE2J1,YTHDF3,CD274,ADAM17,CASP3,GABPA,PLSCR1,RC3H2,GPR171,SART1,TRIM52,TAX1BP1,ITM2A,PTPN22,PTPRC,TNFSF13B,STX7,MAP3K1,ATF2,GSN,G6PD,KYNU,CHMP5,MOSPD2,TGFBR1,KIF5B,CCR2,HLX,TRBV10-1,C3AR1,ZFPM1,BIRC3,CDC42EP2,CD46,IGLV3-27,RAB44,CD36,GPR65,CD226,TLR10,SLC25A40,IFI6,ICOS,NBN,PRF1,IFIT1,ALCAM,C3,UBE2W,IL18BP,ROCK1,TLR5,XRCC4,VNN1,S100A12,PJA2,IFI27,RB1CC1,WDFY1,TRAV40,ZEB1,SP3,NKG7,MNDA,HMGB2,DHX36,BCL6,CD74,HSP90AA1,NEK7,CD48,CXCL5,SOS2,TLR4,TLR9,DDX3X,CTSW,APOBEC3A,TLR8,ALOX15,SNX4,CCL3L3,LY96,FNIP1,PIK3R6,LRRK2,TRAV5,S100A8,MEF2C,ADAM10,TNFAIP6,PAG1,JAK2,FBXO7,CD58,SRPK1,IL6ST,KIR2DL1,APPL2,IFI44,IGHV1-3,RBM47,IFNGR1,CLEC4D,IFIT2,SENP7,PIK3CA"
"GO:BP","immune response","GO:0006955","false","9.622856825650564e-8","7.016695975838689","2118","542","105","20972","SAMD9,CCL4,CNIH,CCL4L1,ANXA1,ANXA3,TNFSF10,BTNL3,PLD4,C9ORF72,FGL2,LTF,BIRC2,IFIT5,ARL8B,CD164,SRC,PLA2G4A,CTSS,UBE2J1,YTHDF3,CD274,ADAM17,PLSCR1,RC3H2,TRIM52,TAX1BP1,ITM2A,PTPN22,PTPRC,TNFSF13B,STX7,MAP3K1,GSN,KYNU,KIF5B,CCR2,HLX,TRBV10-1,C3AR1,BIRC3,CDC42EP2,CD46,IGLV3-27,RAB44,CD36,GPR65,CD226,TLR10,IFI6,ICOS,NBN,PRF1,IFIT1,ALCAM,C3,UBE2W,IL18BP,TLR5,VNN1,S100A12,PJA2,IFI27,RB1CC1,WDFY1,TRAV40,NKG7,MNDA,HMGB2,DHX36,BCL6,CD74,HSP90AA1,NEK7,CD48,CXCL5,TLR4,TLR9,DDX3X,CTSW,APOBEC3A,TLR8,ALOX15,SNX4,CCL3L3,LY96,PIK3R6,TRAV5,S100A8,MEF2C,PAG1,JAK2,CD58,SRPK1,IL6ST,KIR2DL1,APPL2,IFI44,IGHV1-3,RBM47,IFNGR1,CLEC4D,IFIT2,SENP7,PIK3CA"
"GO:BP","response to biotic stimulus","GO:0009607","false","1.39238868253049e-7","6.856239515360841","1652","542","88","20972","SAMD9,CCL4,ACTA2,CCL4L1,ANXA1,ANXA3,PLD4,FGL2,ABCA1,SLC30A1,LTF,VWCE,BIRC2,IFIT5,ARL8B,SRC,FAM20A,CTSS,YTHDF3,CD274,ADAM17,CASP3,PLSCR1,DNAJC3,TRIM52,TAX1BP1,PTPN22,PTPRC,ATF2,GSN,KYNU,CHMP5,KIF5B,BIRC3,CDC42EP2,CD46,CD36,CD226,TLR10,TMCO1,IFI6,PRF1,IFIT1,C3,UBE2W,IL18BP,TLR5,VNN1,S100A12,PJA2,NT5C3,IFI27,RB1CC1,WDFY1,NKG7,MNDA,HMGB2,DHX36,CD74,HSP90AA1,RNASE1,NEK7,CXCL5,TLR4,TLR9,DDX3X,APOBEC3A,TLR8,CCL3L3,LY96,PIK3R6,TRAV5,S100A8,MEF2C,JAK2,ABI3,CD58,SRPK1,LDOC1,APPL2,IFI44,RBM47,IFNGR1,TPT1,CLEC4D,IFIT2,PPM1B,SENP7"
"GO:BP","localization","GO:0051179","false","1.69365170013679e-7","6.771175897583461","5493","542","210","20972","MPP7,OSTM1,TESC,NUP93,SAMD9,CCL4,LAMTOR3,GAS7,CNIH,SRGN,ATP6V1G1,CNIH4,MMD,ITSN2,CEP19,MAN1A1,SLC4A7,ANXA1,ANXA3,NCOR2,LIMS1,ATP6V1C1,CLIC4,FCHO2,PLD4,C9ORF72,RB1,FLNA,RAB8B,SLC40A1,ABCA1,ATP11C,PEX2,SLC30A1,LTF,EMB,SOAT1,SLC44A1,TNPO1,SLC35A5,ARL8B,SRC,BBS10,PLA2G4A,CTSS,UBE2J1,POLR2M,MAP4,ERC1,TAF7,SLC8A1,AGTPBP1,LMBRD1,SLC35A1,SLC30A5,NRG1,RNF139,ADAM17,LRRC26,DPH3,ARHGAP33,CASP3,ARL5A,RHOT1,PLSCR1,MIB1,TRAM1,MRC2,PGRMC1,RAB33B,CYB5R4,YIPF4,PLEKHF2,NSL1,EFHA1,ACAP2,TMX1,MEF2A,ATP11B,TAX1BP1,SLC25A24,PTPN22,NDUFB3,PTPRC,RAP1B,STX7,SHOC2,TM9SF3,TIA1,SNX16,ATF2,SRP9,GSN,CREG1,G6PD,CHMP5,OSBPL8,STAM2,KIF5B,TMEM41B,CCR2,TIMM8B,PNPLA8,GPR27,UHMK1,PDCD10,RAB44,CUL4B,CD36,CSNK1G3,GOLPH3L,TMEM167A,JUP,AP1S2,SPAST,NMD3,TRPM7,DBI,SLC22A4,SLC25A40,TMCO1,VMP1,NPHP3,NBN,VCPIP1,PRF1,IFIT1,STK3,PPM1A,IFT172,FAM91A1,C3,ACSL4,TMED5,CMTM6,ROCK1,VPS36,TMEM30A,SLU7,MT-ATP6,ICA1,XRCC4,IFI27,VRK1,UPK3A,PRR5L,AQP9,PER1,KCNJ2,MT-CO2,KCTD12,RP2,ATP1A3,NKG7,TXN,DHX36,BCL6,DISC1,SCAMP5,CD74,HSP90AA1,ARRDC3,MT-ND6,ERGIC2,UBXN2B,TLR4,MT-ND1,TLR9,DDX3X,IER3IP1,RGS9,RAB36,MAP1S,ALOX15,SNX4,ACCN3,MTMR6,GPR35,LRRK2,SLC38A2,STEAP4,SPNS3,SNX10,MT-ND2,S100A8,MT-ND4,MEF2C,MT-CYB,HBB,ADAM10,TNFAIP6,ARL11,LMNB1,JAK2,ABI3,BRCA2,GAS8,ZDHHC20,KIF27,SCYL2,MFN1,APPL2,PPP1R12A,MAK,P2RX1,ZFYVE16,RNF13,TPT1,ZDHHC17,PIK3CA"
"GO:BP","response to other organism","GO:0051707","false","2.0886163500579742e-7","6.68014132658479","1610","542","86","20972","SAMD9,CCL4,ACTA2,CCL4L1,ANXA1,ANXA3,PLD4,FGL2,ABCA1,SLC30A1,LTF,VWCE,BIRC2,IFIT5,ARL8B,SRC,FAM20A,CTSS,YTHDF3,CD274,ADAM17,CASP3,PLSCR1,DNAJC3,TRIM52,TAX1BP1,PTPN22,PTPRC,ATF2,GSN,KYNU,CHMP5,KIF5B,BIRC3,CDC42EP2,CD46,CD36,CD226,TLR10,IFI6,PRF1,IFIT1,C3,UBE2W,IL18BP,TLR5,VNN1,S100A12,PJA2,NT5C3,IFI27,RB1CC1,WDFY1,NKG7,MNDA,HMGB2,DHX36,CD74,HSP90AA1,RNASE1,NEK7,CXCL5,TLR4,TLR9,DDX3X,APOBEC3A,TLR8,CCL3L3,LY96,PIK3R6,TRAV5,S100A8,MEF2C,JAK2,CD58,SRPK1,LDOC1,APPL2,IFI44,RBM47,IFNGR1,TPT1,CLEC4D,IFIT2,PPM1B,SENP7"
